helidon-mp, Compile time, 10856 milliseconds
helidon-mp, Compile time, 8677 milliseconds
helidon-mp, Compile time, 8492 milliseconds
helidon-mp, Compile time, 8822 milliseconds
helidon-mp, Compile time, 9130 milliseconds
helidon-mp, Startup time, 10691 milliseconds
helidon-mp, Memory Usage (Startup), 401.6
helidon-mp, Startup time, 10158 milliseconds
helidon-mp, Memory Usage (Startup), 419.2
helidon-mp, Startup time, 9343 milliseconds
helidon-mp, Memory Usage (Startup), 426.9
helidon-mp, Startup time, 9634 milliseconds
helidon-mp, Memory Usage (Startup), 424.4
helidon-mp, Startup time, 9554 milliseconds
helidon-mp, Memory Usage (Startup), 420.3
helidon-mp, Memory Usage (Load), 461.3
helidon-mp, Load Time, 4583 milliseconds
helidon-mp, Memory Usage (Load), 469.1
helidon-mp, Load Time, 4555 milliseconds
helidon-mp, Memory Usage (Load), 468.2
helidon-mp, Load Time, 5496 milliseconds
helidon-mp, Memory Usage (Load), 492.5
helidon-mp, Load Time, 3916 milliseconds
helidon-mp, Memory Usage (Load), 475
helidon-mp, Load Time, 4883 milliseconds
spring, Compile time, 8713 milliseconds
spring, Compile time, 12570 milliseconds
spring, Compile time, 6931 milliseconds
spring, Compile time, 7243 milliseconds
spring, Compile time, 6821 milliseconds
spring, Startup time, 13143 milliseconds
spring, Memory Usage (Startup), 513.1
spring, Startup time, 13078 milliseconds
spring, Memory Usage (Startup), 502.4
spring, Startup time, 13659 milliseconds
spring, Memory Usage (Startup), 525.4
spring, Startup time, 12738 milliseconds
spring, Memory Usage (Startup), 530.5
spring, Startup time, 13109 milliseconds
spring, Memory Usage (Startup), 487.2
spring, Memory Usage (Load), 498.9
spring, Load Time, 3947 milliseconds
spring, Memory Usage (Load), 510.9
spring, Load Time, 3443 milliseconds
spring, Memory Usage (Load), 543.2
spring, Load Time, 4722 milliseconds
spring, Memory Usage (Load), 546.1
spring, Load Time, 4810 milliseconds
spring, Memory Usage (Load), 526.1
spring, Load Time, 4544 milliseconds
spring-driver, Compile time, 8300 milliseconds
spring-driver, Compile time, 6511 milliseconds
spring-driver, Compile time, 7526 milliseconds
spring-driver, Compile time, 7190 milliseconds
spring-driver, Compile time, 6893 milliseconds
spring-driver, Startup time, 8889 milliseconds
spring-driver, Memory Usage (Startup), 399.2
spring-driver, Startup time, 9210 milliseconds
spring-driver, Memory Usage (Startup), 431.7
spring-driver, Startup time, 8852 milliseconds
spring-driver, Memory Usage (Startup), 417.7
spring-driver, Startup time, 8954 milliseconds
spring-driver, Memory Usage (Startup), 421.6
spring-driver, Startup time, 8862 milliseconds
spring-driver, Memory Usage (Startup), 404.2
spring-driver, Memory Usage (Load), 447
spring-driver, Load Time, 5848 milliseconds
spring-driver, Memory Usage (Load), 466
spring-driver, Load Time, 6631 milliseconds
spring-driver, Memory Usage (Load), 455.7
spring-driver, Load Time, 5836 milliseconds
spring-driver, Memory Usage (Load), 467.3
spring-driver, Load Time, 5996 milliseconds
spring-driver, Memory Usage (Load), 466.2
spring-driver, Load Time, 6904 milliseconds
quarkus, Compile time, 20458 milliseconds
quarkus, Compile time, 10641 milliseconds
quarkus, Compile time, 9180 milliseconds
quarkus, Compile time, 9336 milliseconds
quarkus, Compile time, 12775 milliseconds
quarkus, Startup time, 9206 milliseconds
quarkus, Memory Usage (Startup), 171.1
quarkus, Startup time, 8056 milliseconds
quarkus, Memory Usage (Startup), 180.7
quarkus, Startup time, 13476 milliseconds
quarkus, Memory Usage (Startup), 175.8
quarkus, Startup time, 8991 milliseconds
quarkus, Memory Usage (Startup), 178.4
quarkus, Startup time, 8291 milliseconds
quarkus, Memory Usage (Startup), 177.3
quarkus, Memory Usage (Load), 173.6
quarkus, Load Time, 4289 milliseconds
quarkus, Memory Usage (Load), 179.4
quarkus, Load Time, 3107 milliseconds
quarkus, Memory Usage (Load), 193.8
quarkus, Load Time, 4033 milliseconds
quarkus, Memory Usage (Load), 184.8
quarkus, Load Time, 3178 milliseconds
quarkus, Memory Usage (Load), 182.5
quarkus, Load Time, 3724 milliseconds
micronaut-driver, Compile time, 12858 milliseconds
micronaut-driver, Compile time, 12218 milliseconds
micronaut-driver, Compile time, 12438 milliseconds
